land_size,crop_type,fertilizer_type,season,month,recommended_quantity,requested_quantity,quantity_ratio,days_since_last_purchase,purchase_count_30d,previous_fraud_count,retailer_risk_score,village_risk_score,otp_verified,officer_approved,transaction_hour,is_repeat_purchase,is_fraud
1.6,wheat,DAP,Rabi,2,80.0,180.4,2.255,67,1,0,0.22,0.21,1,1,6,0,0
7.9,cotton,Urea,Kharif,6,632.0,488.45,0.7729,87,0,2,0.91,0.99,1,1,7,0,1
3.7,sunflower,DAP,Rabi,1,166.5,88.83,0.5335,332,1,0,0.58,0.78,1,1,15,0,0
9.7,paddy,SSP,Rabi,12,873.0,566.35,0.6487,249,6,0,0.81,0.76,1,0,11,1,1
3.7,sunflower,MOP,Kharif,10,122.1,110.55,0.9054,337,1,0,0.22,0.36,1,1,9,0,0
11.9,cotton,DAP,Summer,4,595.0,607.59,1.0212,184,5,2,0.81,0.27,0,1,15,1,1
10.6,sunflower,MOP,Rabi,3,318.0,217.02,0.6825,120,0,0,0.91,0.79,0,1,13,0,0
1.2,cotton,DAP,Rabi,2,66.0,195.13,2.9565,192,0,1,0.97,0.73,1,1,19,0,1
7.9,sunflower,MOP,Rabi,3,237.0,338.73,1.4292,183,4,0,0.55,0.88,1,0,17,1,1
11.9,paddy,DAP,Kharif,10,595.0,655.7,1.102,290,5,0,0.58,0.94,1,0,11,1,1
9.9,groundnut,SSP,Rabi,1,891.0,469.09,0.5265,35,5,0,0.2,0.94,1,1,10,1,0
4.8,sunflower,DAP,Rabi,3,216.0,238.96,1.1063,11,2,0,0.74,0.28,1,0,13,1,1
1.6,sunflower,Urea,Kharif,7,88.0,99.71,1.1331,81,3,0,0.22,0.78,1,1,16,1,0
5.0,sunflower,DAP,Rabi,1,225.0,528.47,2.3487,151,0,1,0.64,0.38,1,1,11,0,1
1.8,soybean,SSP,Kharif,8,180.0,108.47,0.6026,279,5,0,0.22,0.79,1,0,20,1,0
8.5,wheat,Urea,Rabi,11,552.5,1346.29,2.4367,302,6,0,0.77,0.38,0,0,11,1,1
3.2,sugarcane,Urea,Kharif,7,416.0,628.65,1.5112,265,4,1,0.91,0.56,1,1,20,1,1
5.4,soybean,DAP,Rabi,11,243.0,235.99,0.9711,35,2,0,0.86,0.65,1,1,8,1,0
7.3,soybean,Urea,Kharif,7,146.0,155.51,1.0651,299,4,1,0.03,0.84,1,1,8,1,1
6.1,sunflower,Urea,Rabi,3,305.0,299.95,0.9834,312,4,0,0.34,0.37,1,0,10,1,0
4.8,groundnut,MOP,Summer,5,129.6,230.37,1.7776,51,5,3,0.73,0.88,0,0,10,1,1
11.0,soybean,SSP,Kharif,9,1100.0,1022.21,0.9293,82,4,0,0.16,0.28,1,1,19,1,0
2.8,paddy,DAP,Rabi,1,126.0,107.03,0.8495,102,5,0,0.22,0.73,1,1,13,1,0
7.2,groundnut,MOP,Rabi,3,216.0,209.43,0.9696,353,6,0,0.22,0.27,0,0,19,1,0
2.9,soybean,Urea,Rabi,11,52.2,57.2,1.0958,89,5,0,0.81,0.37,0,0,6,1,1
3.4,sunflower,MOP,Rabi,11,102.0,98.09,0.9617,53,4,0,0.58,0.96,1,1,14,1,1
6.0,groundnut,MOP,Rabi,11,180.0,234.39,1.3022,365,5,2,0.59,0.65,1,0,11,1,1
2.1,paddy,SSP,Summer,5,168.0,194.38,1.157,19,3,0,0.09,0.96,1,1,10,1,0
11.3,groundnut,MOP,Rabi,3,339.0,402.36,1.1869,50,2,0,0.55,0.21,1,1,19,1,0
10.5,soybean,MOP,Kharif,6,346.5,367.53,1.0607,61,3,0,0.62,0.61,1,1,10,1,0
4.9,sugarcane,SSP,Rabi,1,784.0,860.41,1.0975,176,1,0,0.03,0.37,1,1,19,0,0
7.8,paddy,SSP,Summer,5,624.0,1201.89,1.9261,82,6,0,0.22,0.84,1,0,9,1,1
0.9,maize,MOP,Rabi,1,24.3,15.48,0.6369,272,6,0,0.81,0.21,1,1,20,1,0
10.0,sugarcane,MOP,Kharif,8,670.0,702.08,1.0479,173,4,0,0.97,0.78,1,0,17,1,1
9.8,paddy,DAP,Summer,4,392.0,336.26,0.8578,12,5,0,0.42,0.98,0,0,17,1,1
8.1,paddy,Urea,Rabi,12,445.5,776.07,1.742,64,3,0,0.09,0.99,1,0,7,1,1
3.6,cotton,SSP,Rabi,2,396.0,367.44,0.9279,59,2,1,0.58,0.36,1,1,14,1,0
11.0,sunflower,MOP,Summer,4,297.0,163.22,0.5495,57,0,1,0.64,0.03,1,0,6,0,0
3.2,sugarcane,MOP,Kharif,8,214.4,585.79,2.7322,21,6,1,0.71,0.21,1,1,6,1,1
4.3,sunflower,MOP,Rabi,12,129.0,91.87,0.7121,59,1,0,0.16,0.17,1,0,7,0,0
1.8,paddy,DAP,Rabi,2,81.0,196.99,2.432,292,6,0,0.62,0.64,0,0,12,1,1
1.8,soybean,SSP,Rabi,1,162.0,132.38,0.8172,7,2,1,0.22,0.23,1,1,7,1,0
6.5,wheat,SSP,Rabi,11,650.0,778.81,1.1982,340,2,0,0.54,0.64,1,1,17,1,0
10.5,wheat,SSP,Kharif,6,945.0,1057.33,1.1189,260,0,0,0.79,0.65,1,1,9,0,0
5.6,wheat,SSP,Rabi,12,560.0,668.91,1.1945,212,3,0,0.03,0.36,1,1,16,1,0
4.4,paddy,DAP,Kharif,8,220.0,123.8,0.5627,308,4,0,0.55,0.21,1,1,11,1,0
11.6,sugarcane,MOP,Rabi,12,696.0,986.47,1.4173,72,3,1,0.91,0.21,1,1,7,1,1
4.4,soybean,Urea,Rabi,11,79.2,83.21,1.0507,231,6,0,0.62,0.36,1,1,19,1,1
7.2,cotton,DAP,Rabi,12,396.0,473.98,1.1969,337,3,0,0.42,0.36,1,1,19,1,0
5.7,cotton,DAP,Kharif,7,342.0,539.5,1.5775,360,6,0,0.54,0.61,1,1,15,1,1
11.1,cotton,DAP,Kharif,9,666.0,766.66,1.1511,181,0,0,0.81,0.88,1,1,14,0,1
1.7,soybean,DAP,Rabi,1,76.5,89.33,1.1677,83,2,3,0.22,0.98,1,0,16,1,1
5.7,maize,SSP,Summer,4,513.0,531.83,1.0367,25,5,2,0.81,0.88,1,1,14,1,1
10.5,maize,MOP,Kharif,10,346.5,208.88,0.6028,100,6,0,0.86,0.98,0,1,14,1,1
6.9,cotton,DAP,Kharif,10,414.0,280.46,0.6774,239,2,1,0.22,0.1,0,0,19,1,0
4.6,groundnut,DAP,Rabi,3,207.0,204.07,0.9859,213,1,0,0.74,0.56,1,0,14,0,0
7.6,sunflower,Urea,Rabi,2,380.0,1082.5,2.8487,329,1,0,0.34,0.99,1,1,16,0,0
11.0,groundnut,SSP,Kharif,8,1100.0,1128.55,1.026,165,1,0,0.81,0.23,1,0,6,0,0
9.4,soybean,Urea,Summer,4,141.0,182.97,1.2977,37,6,1,0.72,0.23,0,1,14,1,1
3.5,soybean,SSP,Rabi,11,315.0,710.04,2.2541,200,0,0,0.72,0.17,1,1,12,0,0
11.2,wheat,MOP,Rabi,11,336.0,854.84,2.5442,225,2,0,0.86,0.79,1,0,10,1,1
3.9,groundnut,Urea,Kharif,9,78.0,198.66,2.5469,22,0,0,0.55,0.37,1,1,19,0,0
5.2,cotton,DAP,Rabi,3,286.0,340.3,1.1899,59,1,0,0.58,0.65,1,1,9,0,0
1.6,sunflower,MOP,Kharif,6,52.8,35.94,0.6806,318,2,0,0.54,0.36,0,1,8,1,0
9.8,soybean,DAP,Rabi,1,441.0,398.28,0.9031,329,5,0,0.54,0.94,1,0,11,1,0
7.5,sugarcane,DAP,Kharif,9,637.5,747.08,1.1719,40,5,1,0.22,0.27,1,1,9,1,1
0.9,sugarcane,SSP,Rabi,11,144.0,82.6,0.5736,115,3,2,0.03,0.73,1,1,18,1,1
11.8,cotton,DAP,Kharif,8,708.0,719.71,1.0165,338,4,1,0.51,0.84,0,1,8,1,1
3.2,maize,MOP,Kharif,7,105.6,100.99,0.9563,333,0,0,0.6,0.28,1,1,13,0,0
